key,region,days,name,emoji,c1,c2,price,meta,tags,tip,tipClass,b1,b1c,b2,b2c,b3,b3c
tw_taipei1day,taiwan,1,台北故宮＋淡水老街,🏛️,#fde68a,#fb923c,1980,"台北市・小團12人・♿無障礙",taiwan easy accessible,一日遊,b-orange,♿ 無障礙,b-green,🌅 一日輕鬆,b-orange,🚌 全程專車,b-blue
tw_taichung1day,taiwan,1,台中彩虹眷村＋逢甲夜市,🎨,#fbbf24,#f472b6,1880,"台中市・小團12人・♿無障礙",taiwan easy accessible,一日遊,b-orange,♿ 無障礙,b-green,🌅 一日輕鬆,b-orange,🚌 全程專車,b-blue
tw_kaohsiung1day,taiwan,1,高雄蓮池潭＋駁二藝術特區,🪷,#86efac,#22d3ee,1880,"高雄市・小團12人・♿無障礙",taiwan easy accessible,一日遊,b-orange,♿ 無障礙,b-green,🌅 一日輕鬆,b-orange,🚌 全程專車,b-blue
tw_yilan2d,taiwan,2,宜蘭溫泉礁溪養生 2天1夜,♨️,#6ee7b7,#3b82f6,5800,"宜蘭礁溪・小團12人・♿無障礙",taiwan easy accessible,泡湯首選,b-teal,♿ 無障礙,b-green,♨️ 溫泉養生,b-teal,🍚 銀髮餐,b-green
tw_kenting2d,taiwan,2,墾丁南灣海景悠閒 2天1夜,🌊,#34d399,#facc15,5980,"屏東墾丁・小團12人・♿無障礙",taiwan easy accessible,海景首選,b-teal,♿ 無障礙,b-green,🌊 海景療癒,b-teal,🚌 全程專車,b-blue
tw_beitou2d,taiwan,2,北投溫泉文化館養生 2天1夜,♨️,#a5f3fc,#818cf8,5600,"台北北投・小團10人・♿無障礙",taiwan easy accessible,療癒之旅,b-teal,♿ 無障礙,b-green,♨️ 溫泉放鬆,b-teal,🏥 醫療保障,b-blue
tw_taichung3d,taiwan,3,台中日月潭清境農場 3天2夜,🌄,#fde68a,#4ade80,8800,"台中・南投・小團12人・♿無障礙",taiwan easy accessible,山水之美,b-green,♿ 無障礙,b-green,🌄 山景療癒,b-green,🚌 全程專車,b-blue
tw_tainan3d,taiwan,3,台南古蹟美食文化 3天2夜,🏯,#fbbf24,#f97316,8500,"台南市・小團12人・♿無障礙",taiwan easy accessible,文化饗宴,b-orange,♿ 無障礙,b-green,🍜 在地美食,b-orange,🚌 全程專車,b-blue
tw_penghu3d,taiwan,3,澎湖藍海玄武岩 3天2夜,🏝️,#38bdf8,#34d399,9800,"澎湖群島・小團10人・♿無障礙",taiwan easy accessible,離島探秘,b-teal,♿ 無障礙,b-green,🌊 海島慢遊,b-teal,🍚 海鮮美食,b-orange
tw_hualien4d,taiwan,4,花蓮太魯閣峽谷縱走 4天3夜,🏔️,#67e8f9,#818cf8,12800,"花蓮縣・小團10人・♿無障礙",taiwan accessible,峽谷奇景,b-blue,♿ 無障礙,b-green,🏔️ 山水奇景,b-blue,🚌 全程專車,b-blue
tw_taitung4d,taiwan,4,台東池上綠野縱谷慢活 4天3夜,🌾,#86efac,#fbbf24,12500,"台東縣・小團12人・♿無障礙",taiwan easy accessible,縱谷慢活,b-green,♿ 無障礙,b-green,🌾 田園風光,b-green,🍚 有機飲食,b-teal
tw_kinmen4d,taiwan,4,金門戰地歷史文化 4天3夜,🏰,#fca5a5,#fbbf24,13200,"金門縣・小團12人・♿無障礙",taiwan easy accessible,歷史之旅,b-orange,♿ 無障礙,b-green,🏰 戰地文化,b-orange,🚌 全程專車,b-blue
tw_tainan5d,taiwan,5,台南嘉義府城深度文化 5天4夜,🎋,#fde68a,#86efac,15800,"台南・嘉義・小團12人・♿無障礙",taiwan easy accessible,文化深度,b-purple,♿ 無障礙,b-green,🎋 深度文化,b-purple,🍜 古早味美食,b-orange
tw_northcoast5d,taiwan,5,北海岸野柳基隆海岸線 5天4夜,🌊,#38bdf8,#6366f1,14800,"新北・基隆・小團12人・♿無障礙",taiwan easy accessible,海岸秘境,b-teal,♿ 無障礙,b-green,🌊 海岸風光,b-teal,🚌 全程專車,b-blue
tw_penghu5d,taiwan,5,澎湖七美望安秘境 5天4夜,🏝️,#22d3ee,#4ade80,16800,"澎湖群島・小團10人・♿無障礙",taiwan easy accessible,離島天堂,b-teal,♿ 無障礙,b-green,🏝️ 離島秘境,b-teal,🍚 海鮮盛宴,b-orange
tw_alishan6d,taiwan,6,阿里山日出神木森林 6天5夜,🌲,#4ade80,#fbbf24,19800,"嘉義阿里山・小團10人・♿無障礙",taiwan accessible,高山秘境,b-green,♿ 無障礙,b-green,🌲 森林浴,b-green,🌅 雲海日出,b-orange
tw_eastcoast6d,taiwan,6,東海岸石梯坪秀姑巒溪 6天5夜,🌊,#67e8f9,#34d399,19500,"花蓮・台東・小團12人・♿無障礙",taiwan accessible,東岸秘境,b-teal,♿ 無障礙,b-green,🌊 東岸風光,b-teal,🚌 全程專車,b-blue
tw_teakulture6d,taiwan,6,坪林梨山茶文化慢遊 6天5夜,🍵,#86efac,#a78bfa,18800,"新北・台中梨山・小團12人・♿無障礙",taiwan easy accessible,茶鄉慢活,b-green,♿ 無障礙,b-green,🍵 茶文化體驗,b-green,🌿 養生之旅,b-teal
tw_west7d,taiwan,7,西部縱貫精華城市 7天6夜,🏙️,#fbbf24,#f472b6,22800,"台北至高雄・小團12人・♿無障礙",taiwan easy accessible,西岸精華,b-orange,♿ 無障礙,b-green,🏙️ 城市文化,b-orange,🚌 全程專車,b-blue
tw_eastvalley7d,taiwan,7,東部縱谷花東健康療癒 7天6夜,🌾,#86efac,#38bdf8,23800,"花蓮・台東縱谷・小團10人・♿無障礙",taiwan easy accessible,縱谷療癒,b-green,♿ 無障礙,b-green,🌾 縱谷風光,b-green,🏥 健康管理,b-blue
tw_foodmap7d,taiwan,7,台灣美食地圖環島饗宴 7天6夜,🍜,#fca5a5,#fbbf24,22500,"全台美食・小團12人・♿無障礙",taiwan easy accessible,美食探索,b-orange,♿ 無障礙,b-green,🍜 在地美食,b-orange,🚌 全程專車,b-blue
taiwan,taiwan,8,台灣環島全覽 8天7夜,🗺️,#f9a8d4,#818cf8,29800,"全台環島・小團12人・♿無障礙",taiwan accessible,環島經典,b-purple,♿ 無障礙,b-green,🗺️ 環島探索,b-purple,🚌 全程專車,b-blue
tw_east8d,taiwan,8,東台灣深度花東縱谷 8天7夜,🏔️,#67e8f9,#4ade80,27800,"花蓮・台東・小團10人・♿無障礙",taiwan accessible,東台灣秘境,b-teal,♿ 無障礙,b-green,🏔️ 山海風光,b-teal,🌿 自然療癒,b-green
tw_natural8d,taiwan,8,台灣自然生態濕地秘境 8天7夜,🦋,#86efac,#fbbf24,26800,"全台生態・小團10人・♿無障礙",taiwan easy accessible,生態探秘,b-green,♿ 無障礙,b-green,🦋 生態體驗,b-green,🌿 自然療癒,b-teal
tw_10d,taiwan,10,台灣精華全覽深度 10天9夜,🌏,#a78bfa,#38bdf8,35800,"全台・小團12人・♿無障礙",taiwan accessible,深度精選,b-purple,♿ 無障礙,b-green,🌏 全台深度,b-purple,🚌 全程專車,b-blue
tw_health10d,taiwan,10,台灣健康養生溫泉療癒 10天9夜,🌿,#4ade80,#a78bfa,36500,"全台溫泉・小團10人・♿無障礙",taiwan easy accessible,養生首選,b-green,♿ 無障礙,b-green,🌿 養生療癒,b-green,🏥 健康管理,b-blue
tw_culture10d,taiwan,10,台灣原住民文化藝術 10天9夜,🎭,#fca5a5,#fbbf24,34800,"全台原鄉・小團10人・♿無障礙",taiwan easy accessible,文化體驗,b-orange,♿ 無障礙,b-green,🎭 原民文化,b-orange,🍚 原鄉美食,b-teal
tw_12d,taiwan,12,台灣南北縱橫全程 12天11夜,🗺️,#818cf8,#f472b6,42800,"全台・小團12人・♿無障礙",taiwan accessible,全台精選,b-purple,♿ 無障礙,b-green,🗺️ 南北縱橫,b-purple,🚌 全程專車,b-blue
tw_island12d,taiwan,12,台灣四大離島逐夢 12天11夜,🏝️,#22d3ee,#818cf8,48800,"金門・馬祖・澎湖・綠島・小團10人",taiwan accessible,離島探秘,b-teal,♿ 無障礙,b-green,🏝️ 四島巡禮,b-teal,✈️ 含島內機票,b-blue
tw_mountain12d,taiwan,12,台灣百岳周邊高山慢遊 12天11夜,⛰️,#86efac,#6366f1,44800,"全台山區・小團10人・♿無障礙",taiwan accessible,山岳精選,b-blue,♿ 無障礙,b-green,⛰️ 高山探秘,b-blue,🌿 森林浴,b-green
tw_15d,taiwan,15,台灣深度全覽慢旅 15天14夜,🌏,#f9a8d4,#818cf8,56800,"全台・小團12人・♿無障礙",taiwan accessible,最完整,b-purple,♿ 無障礙,b-green,🌏 深度全覽,b-purple,🚌 全程專車,b-blue
tw_wellness15d,taiwan,15,台灣銀髮健康慢活養生 15天14夜,🧘,#4ade80,#fbbf24,58800,"全台養生・小團10人・♿無障礙",taiwan easy accessible,養生療癒,b-green,♿ 無障礙,b-green,🧘 身心療癒,b-green,🏥 醫療保障,b-blue
tw_heritage15d,taiwan,15,台灣世界遺產潛力點巡禮 15天14夜,🏛️,#fbbf24,#a78bfa,55800,"全台文化遺址・小團10人・♿無障礙",taiwan accessible,文化遺產,b-purple,♿ 無障礙,b-green,🏛️ 遺產探索,b-purple,🎭 文化饗宴,b-orange
jp_tokyo3d,japan,3,東京淺草秋葉原銀座 3天2夜,🗼,#fca5a5,#f472b6,38800,"日本東京・小團10人・♿無障礙",japan easy accessible,東京精選,b-orange,♿ 無障礙,b-green,🗼 城市文化,b-orange,🚌 全程專車,b-blue
jp_tokyo3d_b,japan,3,東京上野新宿日本橋 3天2夜,🌸,#fbcfe8,#fbbf24,39800,"日本東京・小團10人・♿無障礙",japan easy accessible,樂齡首選,b-green,♿ 無障礙,b-green,🌸 春季賞花,b-green,🍱 頂級料理,b-orange
jp_tokyo3d_c,japan,3,東京迪士尼溫泉精選 3天2夜,🎡,#fde68a,#f472b6,41800,"日本東京・小團12人・♿無障礙",japan easy accessible,歡樂之旅,b-orange,♿ 無障礙,b-green,🎡 歡樂體驗,b-orange,♨️ 溫泉放鬆,b-teal
jp_osaka4d,japan,4,大阪京都奈良關西漫步 4天3夜,🏯,#fbbf24,#f97316,44800,"日本關西・小團10人・♿無障礙",japan easy accessible,關西精選,b-orange,♿ 無障礙,b-green,🏯 古都文化,b-orange,🍱 大阪美食,b-orange
jp_osaka4d_b,japan,4,大阪神戶淡路島海景 4天3夜,🌊,#38bdf8,#4ade80,43800,"日本關西・小團10人・♿無障礙",japan easy accessible,海景療癒,b-teal,♿ 無障礙,b-green,🌊 海景漫步,b-teal,🍱 神戶牛排,b-orange
jp_osaka4d_c,japan,4,大阪名古屋東海道 4天3夜,🏙️,#fca5a5,#818cf8,45800,"日本東海・小團12人・♿無障礙",japan easy accessible,東海精選,b-blue,♿ 無障礙,b-green,🏙️ 城市探索,b-blue,🚌 全程專車,b-blue
kyoto,japan,5,京都賞櫻溫泉 5天4夜,🌸,#fbbf24,#f97316,48800,"日本關西・小團10人・♿無障礙",japan accessible easy,朋友推薦,b-green,♿ 無障礙,b-green,🚶 緩步行,b-green,🏥 醫療,b-blue
jp_okinawa5d,japan,5,沖繩海島療癒度假 5天4夜,🏖️,#22d3ee,#4ade80,46800,"日本沖繩・小團10人・♿無障礙",japan accessible easy,海島首選,b-teal,♿ 無障礙,b-green,🏖️ 海島療癒,b-teal,🍱 琉球料理,b-orange
jp_5d_c,japan,5,東京富士山箱根溫泉 5天4夜,🗻,#a5f3fc,#818cf8,49800,"日本關東・小團10人・♿無障礙",japan accessible easy,富士精選,b-blue,♿ 無障礙,b-green,🗻 富士巡禮,b-blue,♨️ 箱根溫泉,b-teal
hokkaido,japan,6,北海道養生溫泉療癒 6天5夜,🌿,#a78bfa,#ec4899,56800,"日本北海道・小團8人・♿無障礙",japan accessible easy,最輕鬆,b-green,♿ 無障礙,b-green,🍚 銀髮餐,b-green,🚶 最輕鬆,b-green
jp_6d_b,japan,6,京都奈良金澤富山 6天5夜,🏯,#fde68a,#86efac,54800,"日本關西北陸・小團10人・♿無障礙",japan accessible easy,北陸精選,b-orange,♿ 無障礙,b-green,🏯 古都巡禮,b-orange,🍱 海鮮美食,b-orange
jp_6d_c,japan,6,東北仙台松島楓葉 6天5夜,🍁,#fca5a5,#fbbf24,53800,"日本東北・小團10人・♿無障礙",japan accessible easy,楓葉首選,b-orange,♿ 無障礙,b-green,🍁 賞楓之旅,b-orange,♨️ 溫泉放鬆,b-teal
jp_hiroshima7d,japan,7,廣島宮島四國巡禮 7天6夜,⛩️,#fbbf24,#818cf8,58800,"日本廣島・四國・小團10人・♿無障礙",japan accessible,深度歷史,b-purple,♿ 無障礙,b-green,⛩️ 神社巡禮,b-purple,🚌 全程專車,b-blue
kyushu,japan,7,九州溫泉美食全覽 7天6夜,♨️,#fca5a5,#f97316,59800,"日本九州・小團10人・♿無障礙",japan accessible easy,九州療癒,b-teal,♿ 無障礙,b-green,♨️ 溫泉療癒,b-teal,🍱 九州美食,b-orange
jp_7d_c,japan,7,北海道函館小樽秘境 7天6夜,❄️,#bfdbfe,#a78bfa,62800,"日本北海道・小團8人・♿無障礙",japan accessible easy,北海道秘境,b-blue,♿ 無障礙,b-green,❄️ 雪景療癒,b-blue,🍱 海鮮盛宴,b-orange
jp_golden8d,japan,8,日本黃金路線東京大阪 8天7夜,🥇,#fde68a,#f97316,68800,"日本關東關西・小團10人・♿無障礙",japan accessible easy,黃金路線,b-orange,♿ 無障礙,b-green,🥇 精選路線,b-orange,🍱 頂級料理,b-orange
jp_8d_b,japan,8,日本山陰山陽古道慢行 8天7夜,🏞️,#86efac,#6366f1,65800,"日本山陰山陽・小團10人・♿無障礙",japan accessible,山道秘境,b-purple,♿ 無障礙,b-green,🏞️ 古道探索,b-purple,♨️ 名湯療癒,b-teal
jp_8d_c,japan,8,九州全域溫泉文化深度 8天7夜,🌋,#fca5a5,#a78bfa,67800,"日本九州全域・小團10人・♿無障礙",japan accessible easy,深度九州,b-purple,♿ 無障礙,b-green,🌋 火山奇景,b-purple,♨️ 別府溫泉,b-teal
jp_full10d,japan,10,日本全覽東西精選 10天9夜,🗾,#818cf8,#f472b6,78800,"日本全境・小團10人・♿無障礙",japan accessible,全境精選,b-purple,♿ 無障礙,b-green,🗾 全境探索,b-purple,🏥 醫療保障,b-blue
jp_10d_b,japan,10,日本東北北海道雙主題 10天9夜,🍁,#fbbf24,#4ade80,79800,"日本東北北海道・小團8人・♿無障礙",japan accessible easy,秋冬首選,b-orange,♿ 無障礙,b-green,🍁 楓雪雙享,b-orange,♨️ 溫泉療癒,b-teal
jp_10d_c,japan,10,日本四國遍路秘境慢旅 10天9夜,⛩️,#a5f3fc,#fbbf24,76800,"日本四國・小團10人・♿無障礙",japan accessible,靈修之旅,b-teal,♿ 無障礙,b-green,⛩️ 遍路巡禮,b-teal,🌿 身心淨化,b-green
jp_12d_a,japan,12,日本南北縱走九州至北海道 12天11夜,🗾,#f9a8d4,#818cf8,98800,"日本全境・小團8人・♿無障礙",japan accessible,南北縱走,b-purple,♿ 無障礙,b-green,🗾 南北縱走,b-purple,🏥 醫療保障,b-blue
jp_12d_b,japan,12,日本溫泉名湯巡禮 12天11夜,♨️,#6ee7b7,#a78bfa,96800,"日本全境溫泉・小團8人・♿無障礙",japan accessible easy,溫泉精選,b-teal,♿ 無障礙,b-green,♨️ 名湯巡禮,b-teal,🍱 懷石料理,b-orange
jp_12d_c,japan,12,日本四季祭典文化之旅 12天11夜,🎏,#fbbf24,#f472b6,95800,"日本全境・小團10人・♿無障礙",japan accessible,祭典體驗,b-orange,♿ 無障礙,b-green,🎏 祭典文化,b-orange,🍱 季節料理,b-orange
jp_15d_a,japan,15,日本深度慢旅全境 15天14夜,🗾,#818cf8,#ec4899,128000,"日本全境・小團8人・♿無障礙",japan accessible,深度全境,b-purple,♿ 無障礙,b-green,🗾 全境深度,b-purple,🏥 醫療保障,b-blue
jp_15d_b,japan,15,日本古道文化遺產精選 15天14夜,🏛️,#fde68a,#818cf8,125000,"日本全境古道・小團8人・♿無障礙",japan accessible,文化遺產,b-purple,♿ 無障礙,b-green,🏛️ 文化遺產,b-purple,🌸 四季風情,b-green
jp_15d_c,japan,15,日本銀髮健康溫泉療養 15天14夜,🌿,#4ade80,#38bdf8,122000,"日本溫泉勝地・小團8人・♿無障礙",japan accessible easy,療養首選,b-green,♿ 無障礙,b-green,🌿 健康療養,b-green,🏥 醫療保障,b-blue
jp_2d_a,japan,2,大阪神戶短程美食輕旅 2天1夜,🍜,#fde68a,#f97316,28800,"日本關西・小團12人・♿無障礙",japan easy accessible,輕鬆短遊,b-orange,♿ 無障礙,b-green,🍜 大阪美食,b-orange,🚌 全程專車,b-blue
jp_2d_b,japan,2,東京輕井澤高原清新 2天1夜,🌿,#86efac,#38bdf8,29800,"日本關東・小團12人・♿無障礙",japan easy accessible,高原清涼,b-teal,♿ 無障礙,b-green,🌿 高原療癒,b-teal,♨️ 溫泉放鬆,b-teal
jp_2d_c,japan,2,京都一泊古寺禪意之旅 2天1夜,⛩️,#fbbf24,#a78bfa,31800,"日本京都・小團10人・♿無障礙",japan easy accessible,京都禪意,b-purple,♿ 無障礙,b-green,⛩️ 禪寺文化,b-purple,🍱 精進料理,b-orange
jp_14d_a,japan,14,日本縱貫本州四國九州 14天13夜,🗾,#fca5a5,#818cf8,118000,"日本全境・小團8人・♿無障礙",japan accessible,縱貫精選,b-purple,♿ 無障礙,b-green,🗾 縱貫壯遊,b-purple,🏥 醫療保障,b-blue
jp_14d_b,japan,14,日本鐵道之旅四季風情 14天13夜,🚂,#38bdf8,#fbbf24,115000,"日本全境鐵道・小團8人・♿無障礙",japan accessible easy,鐵道慢旅,b-blue,♿ 無障礙,b-green,🚂 鐵道慢遊,b-blue,♨️ 名湯巡禮,b-teal
jp_14d_c,japan,14,日本溫泉文化藝術精選 14天13夜,🎎,#f9a8d4,#a78bfa,112000,"日本全境・小團8人・♿無障礙",japan accessible,文化藝術,b-purple,♿ 無障礙,b-green,🎎 藝術文化,b-purple,♨️ 溫泉療癒,b-teal
eu_5d_a,europe,5,法國巴黎週邊凡爾賽 5天4夜,🗼,#c4b5fd,#fbbf24,82000,"法國巴黎・小團12人・♿無障礙",europe easy accessible,巴黎精選,b-purple,♿ 無障礙,b-green,🗼 巴黎初探,b-purple,🍷 法式料理,b-orange
eu_5d_b,europe,5,義大利羅馬梵蒂岡古蹟 5天4夜,🏛️,#fde68a,#f97316,80000,"義大利羅馬・小團12人・♿無障礙",europe easy accessible,永恆之城,b-orange,♿ 無障礙,b-green,🏛️ 古蹟巡禮,b-orange,🍝 義式料理,b-orange
eu_5d_c,europe,5,西班牙巴塞隆納高第建築 5天4夜,🎨,#fca5a5,#fbbf24,83000,"西班牙・小團12人・♿無障礙",europe easy accessible,建築藝術,b-orange,♿ 無障礙,b-green,🎨 建築藝術,b-orange,🍷 美酒美食,b-orange
eu_6d_a,europe,6,瑞士日內瓦琉森蘇黎世 6天5夜,🏔️,#bfdbfe,#f9a8d4,98000,"瑞士・小團10人・♿無障礙",europe accessible easy,湖光山色,b-blue,♿ 無障礙,b-green,🏔️ 阿爾卑斯,b-blue,🍫 瑞士美食,b-orange
eu_6d_b,europe,6,捷克布拉格維也納音樂之旅 6天5夜,🎵,#a78bfa,#fbbf24,92000,"捷克・奧地利・小團12人・♿無障礙",europe easy accessible,音樂之都,b-purple,♿ 無障礙,b-green,🎵 音樂文化,b-purple,🏰 巴洛克建築,b-blue
eu_6d_c,europe,6,希臘雅典聖托里尼 6天5夜,🌊,#38bdf8,#fbbf24,95000,"希臘・小團10人・♿無障礙",europe easy accessible,藍白之美,b-teal,♿ 無障礙,b-green,🌊 愛琴海藍,b-teal,🍷 地中海料理,b-orange
eu_9d_a,europe,9,義大利全覽南北縱走 9天8夜,🏛️,#fde68a,#818cf8,108000,"義大利全境・小團10人・♿無障礙",europe accessible easy,義大利全覽,b-orange,♿ 無障礙,b-green,🏛️ 古蹟全覽,b-orange,🍝 義式美食,b-orange
eu_9d_b,europe,9,法德荷三國文化漫遊 9天8夜,🌷,#60a5fa,#fbbf24,105000,"法德荷三國・小團12人・♿無障礙",europe accessible easy,三國文化,b-blue,♿ 無障礙,b-green,🌷 文化薈萃,b-blue,🚌 全程專車,b-blue
eu_9d_c,europe,9,英國蘇格蘭威爾斯深度 9天8夜,🏰,#818cf8,#4ade80,102000,"英國全境・小團10人・♿無障礙",europe accessible easy,英倫深度,b-blue,♿ 無障礙,b-green,🏰 城堡探秘,b-blue,🍵 英式下午茶,b-teal
eu_11d_a,europe,11,中歐五國精華捷奧匈斯洛 11天10夜,🏘️,#fca5a5,#a78bfa,122000,"中歐五國・小團10人・♿無障礙",europe accessible,中歐精選,b-purple,♿ 無障礙,b-green,🏘️ 童話小城,b-purple,🚌 全程專車,b-blue
eu_11d_b,europe,11,西歐五國英法德比荷 11天10夜,🌷,#60a5fa,#f472b6,125000,"西歐五國・小團10人・♿無障礙",europe accessible,西歐精選,b-blue,♿ 無障礙,b-green,🌷 五國文化,b-blue,🏥 醫療保障,b-blue
eu_11d_c,europe,11,南歐陽光義希土三國 11天10夜,☀️,#fde68a,#38bdf8,118000,"南歐三國・小團10人・♿無障礙",europe accessible,南歐陽光,b-orange,♿ 無障礙,b-green,☀️ 陽光地中海,b-orange,🍷 南歐美食,b-orange
eu_13d_a,europe,13,歐洲鐵道慢遊六國精選 13天12夜,🚂,#818cf8,#fbbf24,158000,"歐洲六國・小團10人・♿無障礙",europe accessible,鐵道之旅,b-blue,♿ 無障礙,b-green,🚂 鐵道漫遊,b-blue,🏥 醫療保障,b-blue
eu_13d_b,europe,13,北歐挪威峽灣丹麥芬蘭 13天12夜,🌊,#bfdbfe,#818cf8,165000,"北歐三國・小團8人・♿無障礙",europe accessible,北歐峽灣,b-blue,♿ 無障礙,b-green,🌊 峽灣奇景,b-blue,🌌 極光之旅,b-purple
eu_13d_c,europe,13,東歐波羅的海三國秘境 13天12夜,🏰,#a78bfa,#38bdf8,148000,"波羅的海三國・小團10人・♿無障礙",europe accessible,秘境探索,b-purple,♿ 無障礙,b-green,🏰 古城漫步,b-purple,🚌 全程專車,b-blue
eu_uk7d,europe,7,英國倫敦愛丁堡 7天6夜,🏰,#60a5fa,#f472b6,88000,"英國・小團12人・♿無障礙",europe accessible easy,英倫首選,b-blue,♿ 無障礙,b-green,🏰 皇室文化,b-blue,🚌 全程專車,b-blue
